objectid,hr_uid,province,engname,frename,casecount,deaths,recovered,tests,totalpop2019,pop0to4_2019,pop5to9_2019,pop10to14_2019,pop15to19_2019,pop20to24_2019,pop25to29_2019,pop30to34_2019,pop35to39_2019,pop40to44_2019,pop45to49_2019,pop50to54_2019,pop55to59_2019,pop60to64_2019,pop65to69_2019,pop70to74_2019,pop75to79_2019,pop80to84_2019,pop85older,averageage_2019,medianage_2019,shape_area,shape_length,last_updated,sourceurl,globalid,retrieved_at
9,6001,YT,Yukon,Yukon,11,0,8,878,39469,2063,2317,2023,2081,2458,2861,2923,3066,3030,2805,2518,2939,2932,2336,1437,894,438,348,39.8,39.9,2468405526215.15,9894475.57319035,1587597360000,https://yukon.ca/covid-19,7477eb99-72e4-4f79-9c98-70daf5dd9c81,2020-04-23 07:15:56
10,6101,NT,Northwest Territories,Territoires du Nord-Ouest,5,,5,1597,44078,3013,3162,3289,2413,3049,3663,3721,3561,3237,2773,2856,3342,2416,1579,838,568,339,259,35.4,34.6,8483915609249.05,71976911.2082409,1587590520000,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,e9785642-7570-488b-91cd-130b165f1459,2020-04-23 07:15:56
11,6201,NU,Nunavut,Nunavut,0,0,,485,37226,4145,3770,3399,2919,2969,3175,3088,2816,2149,2045,1895,1880,1342,770,478,234,86,66,29.3,27.2,22727133733356,311723888.125699,1587590460000,https://www.gov.nu.ca/health/information/covid-19-novel-coronavirus,e137c99d-1272-4c3f-8a1b-2faee23c73f9,2020-04-23 07:15:56
18,4831,AB,South Zone,South Zone,303,0,23,5452,326645,21810,21499,21272,20023,21129,22691,22548,22372,19972,18680,19037,22122,20774,16781,13385,9276,6377,6897,39.1,37.8,159545946574.836,2380370.13877675,1587597240000,https://www.alberta.ca/covid-19-alberta-data.aspx,025a4be2-0dc1-4481-bb88-132e6769db20,2020-04-23 07:15:56
19,4832,AB,Calgary Zone,Calgary Zone,2396,42,769,44941,1732180,104145,103488,100608,92863,103647,128867,149840,154242,135099,122493,110502,112498,100726,75514,55778,34742,22975,24153,38.4,37.7,99289313578.8438,2406830.60696015,1587597300000,https://www.alberta.ca/covid-19-alberta-data.aspx,0c5da256-0d28-4515-9202-821412ea145e,2020-04-23 07:15:56
20,4833,AB,Central Zone,Central Zone,79,1,68,9691,478882,31210,30843,30499,28674,29515,30992,32475,33631,30134,28345,29516,34660,31939,24907,19248,13524,9224,9546,39.5,38.8,257341161752.156,3040030.82410074,1587597300000,https://www.alberta.ca/covid-19-alberta-data.aspx,9da78c48-68d1-463f-b2a2-3a444a4cee56,2020-04-23 07:15:56
21,4834,AB,Edmonton Zone,Edmonton Zone,451,9,328,33958,1461422,90414,87208,81560,76210,91781,119624,133577,127071,106224,92274,87948,93829,84557,65392,48195,31077,21474,23007,38.3,37,32669088823.375,1161498.5159286,1587597360000,https://www.alberta.ca/covid-19-alberta-data.aspx,8fa6402e-b097-4310-8ff4-9a57a36cf185,2020-04-23 07:15:56
22,4835,AB,North Zone,North Zone,150,14,84,8580,463412,37154,33514,31237,28193,30379,34049,35139,36095,31548,28644,27840,30733,26809,19008,13521,8973,5590,4986,36.3,35.3,1486833335237.99,6554329.73167627,1587597420000,https://www.alberta.ca/covid-19-alberta-data.aspx,92669b3e-a222-4207-a09a-9a8c015f0b2c,2020-04-23 07:15:56
23,1307,NB,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),2,,,448,42440,1727,1840,1974,2155,2297,2067,1682,1971,2375,2950,3311,3629,3663,3431,2853,1854,1300,1361,46.7,50.3,21596115275.4297,973352.739194016,1587577920000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,44c853b6-503f-45ff-ad6e-f6de69e6f7cf,2020-04-23 07:15:56
24,2401,QC,Région du Bas-Saint-Laurent,Région du Bas-Saint-Laurent,34,1,,,196158,8578,9507,9244,8718,9107,10358,9714,10926,11272,10380,12114,16619,18203,16349,13577,9027,5863,6602,46.6,50.1,51023214470.1406,1500904.08885413,1587577200000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,ed5b6a30-0f68-4599-a761-6dfb01797648,2020-04-23 07:15:56
25,2402,QC,Région du Saguenay—Lac-Saint-Jean,Région du Saguenay—Lac-Saint-Jean,249,14,,,276281,13045,13865,13639,12494,13729,15882,15043,17503,16796,14083,16837,23570,24971,20605,16876,11533,7706,8104,45.1,47.2,254061735341.527,3000149.77678577,1587577260000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,eac3fc7e-71a2-4c8b-8ef7-adaedd272237,2020-04-23 07:15:56
26,2403,QC,Région de la Capitale-Nationale,Région de la Capitale-Nationale,647,34,,,700684,35093,36648,32632,29503,37651,49639,49048,50966,47027,40404,43353,51508,50793,44552,37710,27551,17227,19379,43.3,43.1,42395434675.1367,1345502.37548665,1587577320000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,86c78678-676c-4e27-ba98-e40183335f49,2020-04-23 07:15:56
27,2404,QC,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,1046,72,,,518043,24111,26386,25198,23527,26519,30320,28206,31929,31223,27567,32852,41838,43321,38490,32533,22882,14468,16673,45.2,47.1,103413876591.223,2210870.45463688,1587577320000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,e4efb474-f888-4d6e-89fa-6983b1854141,2020-04-23 07:15:56
28,2405,QC,Région de l'Estrie,Région de l'Estrie,797,23,,,513429,25088,27477,26750,25335,28076,31982,29601,31888,31094,28664,33147,39718,40153,36015,30728,21092,12873,13748,43.8,44.9,26081665593.9375,1099065.40038171,1587577380000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,200a9a1f-cb75-41d6-ac40-2e77ebde21ea,2020-04-23 07:15:56
29,2406,QC,Région de Montréal,Région de Montréal,9856,647,,,1856818,99345,96921,87108,84221,125947,157264,154422,154412,139395,119855,115368,115249,103328,86829,72373,53895,40649,50237,40.6,39,956257056.152344,247870.831034787,1587577440000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,8826f734-d4c3-4ec2-ac2f-5abd6c6ab2d4,2020-04-23 07:15:56
30,2407,QC,Région de l'Outaouais,Région de l'Outaouais,219,1,,,409421,21483,23533,22736,20949,23379,27266,26505,28016,27709,27226,28956,32164,29716,23743,18987,12392,7501,7160,41.4,42,71921385632.125,2091062.82246135,1587577440000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,889faae9-4e01-437d-a948-5e32d396b03b,2020-04-23 07:15:56
31,2408,QC,Région de l'Abitibi-Témiscamingue,Région de l'Abitibi-Témiscamingue,148,3,,,148529,7806,8461,8128,7430,8516,9522,8758,9313,8890,8451,9984,12175,12084,9607,7663,5121,3257,3363,42.6,43.6,144028420355.098,2022226.80638227,1587577500000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,cef3a9ff-5524-452d-bca9-43627fdf0611,2020-04-23 07:15:56
32,2409,QC,Région de la Côte-Nord,Région de la Côte-Nord,112,0,,,87447,4182,4647,4682,4365,4549,4953,4801,5353,5397,5429,6561,7521,7198,5781,4628,3211,2162,2027,43.7,45.7,694319177679.02,10667861.6763063,1587577500000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,6f999911-9627-40ef-92aa-cd7fc9106c7a,2020-04-23 07:15:56
33,2410,QC,Région du Nord-du-Québec,Région du Nord-du-Québec,7,0,,,14642,800,790,800,759,761,929,952,1033,955,992,1088,1294,1154,835,652,404,273,171,41.5,42.6,911814094269.148,7393913.45762307,1587577500000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,17f34b76-8177-4eb1-a35b-e93ec778afc1,2020-04-23 07:15:56
34,3546,ON,Niagara Regional Area Health Unit,Circonscription sanitaire régionale de Niagara,405,34,154,,450816,20222,21510,22477,23766,28601,29626,26713,24434,24225,27071,32098,36055,33286,29095,25767,18603,12668,14601,44.2,45.7,3545058452.39844,318942.118927528,1587597660000,https://www.niagararegion.ca/health/covid-19/default.aspx,85032ec9-5a18-4a1a-8ca6-d21acefcd298,2020-04-23 07:15:56
35,3547,ON,North Bay Parry Sound District Health Unit,Circonscription sanitaire du district de North Bay Parry Sound,16,0,11,1211,128804,5678,5843,6031,6373,7073,7959,7372,6759,6622,7454,8980,11355,10566,9362,7985,5840,3881,3671,45.4,48.1,39516828702.4922,1806802.80998578,1587597720000,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,d8c2dedb-a9a7-4b62-9969-a6faaa1980a6,2020-04-23 07:15:56
36,3549,ON,Northwestern Health Unit,Circonscription sanitaire du Nord-Ouest,16,,12,986,74771,4901,5003,4857,4931,5144,5003,4402,4261,4139,4311,4639,5532,5189,4115,3207,2107,1521,1509,39.5,38.7,526131406273.582,3773240.60318343,1587577140000,https://www.nwhu.on.ca/covid19/Pages/home.aspx,abd0444e-e2a1-497c-8a75-e5b5762f0baa,2020-04-23 07:15:56
37,3551,ON,City of Ottawa Health Unit,Circonscription sanitaire de la ville d'Ottawa,943,32,338,,1019693,53921,53820,53387,54898,71834,83291,78433,71543,66877,65866,67112,73139,62947,51231,42680,28569,19340,20805,40.4,39.2,5843672476.95313,388217.078359734,1587597780000,https://www.ottawapublichealth.ca/en/public-health-topics/novel-coronavirus.aspx?utm_source=OPH&utm_medium=Home_Page_Banner&utm_campaign=Coronavirus&utm_content=Home_Page_Banner_OPH#Read-the-latest-statement,f46b61ab-19e1-4051-946e-32002768ddd0,2020-04-23 07:15:56
38,3553,ON,Peel Regional Health Unit,Circonscription sanitaire régionale de Peel,1963,64,216,,1553076,82363,87706,94723,99082,112245,117685,111890,111203,109376,106734,109538,107899,88973,71247,57420,38204,24940,21848,39,38.2,2424379930.0625,236282.874585966,1587597840000,http://www.peelregion.ca/coronavirus/#cases,58190c56-92ca-4e4e-ad24-fe885c550a82,2020-04-23 07:15:56
40,3555,ON,Peterborough County–City Health Unit,Circonscription sanitaire du comté et de la cité de Peterborough,59,1,38,2150,144237,6720,6794,6702,6658,8565,10185,9400,8053,7152,7733,9453,11452,11286,10012,8727,6173,4272,4900,44.8,46.2,8292254506.70703,413596.676660608,1587597900000,https://www.peterboroughpublichealth.ca/your-health/diseases-infections-immunization/diseases-and-infections/novel-coronavirus-2019-ncov/local-covid-19-status/,aa3f708b-2039-4eb3-992f-4df701806483,2020-04-23 07:15:56
41,3556,ON,Porcupine Health Unit,Circonscription sanitaire de Porcupine,54,3,30,1368,90540,5152,5040,5049,5067,5490,5498,5057,5296,5104,5490,6019,7641,7356,5946,4467,2905,2061,1902,42.2,43.5,730591646330.547,5377468.33684795,1587577080000,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/,f8661a8f-4d7c-48ac-9007-56b58ef0ac0c,2020-04-23 07:15:56
42,3557,ON,Renfrew County and District Health Unit,Circonscription sanitaire du comté et du district de Renfrew,14,1,6,1181,106578,5899,5496,5129,5335,5934,6548,6721,6336,5829,5913,6907,8688,8055,7172,6030,4394,3063,3129,43.8,45.1,33773811068.9258,1077930.29075719,1587597900000,https://www.rcdhu.com/novel-coronavirus-covid-19-2/,b8332908-ad89-44e0-bbd0-86c9e03f369d,2020-04-23 07:15:56
43,3558,ON,The Eastern Ontario Health Unit,Circonscription sanitaire de l'Est de l'Ontario,71,0,32,1350,179454,9138,9421,9743,9805,10223,10219,9413,9645,9974,11039,13440,15999,14248,11934,9849,6808,4417,4136,43.5,46,10721378972.8867,504439.749428244,1587597960000,https://eohu.ca/en/my-health/covid-19-status-update-for-eohu-region,07381039-5aa9-436c-ad92-e6da548431c8,2020-04-23 07:15:56
44,3560,ON,Simcoe Muskoka District Health Unit,Circonscription sanitaire du district de Simcoe Muskoka,218,15,109,,562142,26901,28748,29760,31014,34658,37438,35294,34385,33391,36400,41405,46377,39079,32515,28067,20171,13391,13148,42.6,43.4,19460622907.5703,1259109.25344168,1587598020000,http://www.simcoemuskokahealthstats.org/topics/infectious-diseases/a-h/covid-19#Confirmed,124d22ca-7518-421f-a811-e2f0b39fc737,2020-04-23 07:15:56
45,3561,ON,Sudbury and District Health Unit,Circonscription sanitaire de Sudbury et son district,47,1,37,2629,202681,9759,10045,10124,10439,12555,13534,12334,12138,11910,12631,13721,16621,15497,13172,10800,7461,5045,4895,43.3,44.4,110843474483.066,3609396.51331272,1587598080000,https://www.phsd.ca/health-topics-programs/diseases-infections/coronavirus/current-status-covid-19,673afa7b-0155-4739-bf21-d9238048fe08,2020-04-23 07:15:56
46,3562,ON,Thunder Bay District Health Unit,Circonscription sanitaire du district de Thunder Bay,55,,37,1628,154444,7878,7879,7798,8088,9481,10664,9764,9018,8553,9296,10027,12251,11981,10425,7940,5378,3865,4158,43,43.9,668282493282.09,8036945.0588901,1587590340000,https://www.tbdhu.com/coronavirus,1be2ba7e-a6da-46fc-92f1-42cc6c0e5824,2020-04-23 07:15:56
47,3563,ON,Timiskaming Health Unit,Circonscription sanitaire de Timiskaming,12,,10,483,33389,1776,1666,1612,1689,1937,1786,1623,1723,1707,1910,2218,2852,2771,2627,2049,1430,1017,996,45,48.1,34365220547.2266,889473.529628119,1587598140000,https://www.timiskaminghu.com/90484/covid-19#Current%20Situation,de7e4ccb-d405-4f71-97f4-404bd2aeb305,2020-04-23 07:15:56
48,3565,ON,Waterloo Health Unit,Circonscription sanitaire de Waterloo,550,31,193,4382,571232,31917,32226,32924,33110,40344,43494,41844,40315,38096,37513,38268,39948,34036,27934,22345,15694,10527,10697,39.7,38.7,2630614384.35156,252085.257126248,1587598200000,https://www.regionofwaterloo.ca/en/health-and-wellness/positive-cases-in-waterloo-region.aspx,1657926a-de14-4ec2-a97b-7a8b54622ba4,2020-04-23 07:15:56
49,3566,ON,Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,201,13,72,,304193,17085,16932,17303,17888,20178,22203,21209,19479,18808,20021,20818,22868,19453,15995,13187,8793,5986,5987,40.4,40,8073621402.45313,548942.34375983,1587598200000,https://app.powerbi.com/view?r=eyJrIjoiMDE0OGVmODctYTcxYS00M2RlLTgzODItMjIxYmM1MzY2YjEyIiwidCI6IjA5Mjg0MzdlLTFhZTItNGJhNy1hZmQxLTY5NDhmY2I5MWM0OCJ9,a86fca32-95a4-4234-bfb6-622b12f32c4b,2020-04-23 07:15:56
50,3568,ON,Windsor-Essex County Health Unit,Circonscription sanitaire de Windsor-comté d'Essex,518,31,93,4468,348836,17864,19055,20754,22204,24654,22730,19665,19138,20741,23063,25205,26560,23630,19798,16569,11309,7744,8152,41.4,42,3389722919.84766,373745.95216569,1587598200000,https://www.wechu.org/cv/local-updates,00a44660-f775-4f73-aac1-d1ec56aaca88,2020-04-23 07:15:56
51,1203,NS,Zone 3 - Eastern,Zone 3 - Eastern,47,,,,138177,6134,6346,6874,7397,8242,7725,6224,6184,6829,7876,9501,11662,12178,11135,9463,6459,4102,3846,45.8,49.5,34087778771.1602,2794638.62698236,1587577320000,https://novascotia.ca/coronavirus/data/,72b5482f-3f2e-4ae6-a368-a8608b642cac,2020-04-23 07:15:56
52,1204,NS,Zone 4 - Central,Zone 4 - Central,634,,,,444740,20852,21800,21003,21913,29500,36142,36589,33284,30230,29568,29112,32973,29484,24025,19924,12589,7900,7852,41.2,40.2,14725362135.6992,1205835.78486425,1587577380000,https://novascotia.ca/coronavirus/data/,00786a76-f6cd-403e-8d85-36bf269d87e3,2020-04-23 07:15:56
53,1301,NB,Zone 1 (Moncton area),Zone 1 (région de Moncton),23,,,3754,217155,9964,11050,11029,11201,11654,13561,13898,14790,14472,15008,15197,16624,15368,13684,11723,7690,4830,5412,43.2,43.9,21227795742.4297,1103411.10603409,1587577680000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,3e89b814-c25f-4ffe-b991-3310a3712942,2020-04-23 07:15:56
54,1302,NB,Zone 2 (Saint John area),Zone 2 (région de Saint John),26,,,2303,149412,7051,8019,8553,8738,8939,8212,7652,8330,9240,9926,10742,12259,11450,9673,8101,5514,3501,3512,43.1,45,21400131916.3008,1320296.36912704,1587577740000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,e7557c80-9a79-4846-b929-d76c38bfc046,2020-04-23 07:15:56
55,1303,NB,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),47,,,2679,179137,8729,9464,9761,9892,11179,12409,11687,11661,11418,12035,12193,13341,12249,10511,8943,5942,3960,3763,41.9,42.1,50037972742.9883,1071390.65266928,1587577800000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,fcfb3f6f-3194-4a02-b131-75718a603c2a,2020-04-23 07:15:56
56,1304,NB,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),7,,,829,45390,1826,1991,2174,2267,2120,2175,2011,2407,2664,2866,3300,4174,4470,3592,3077,1872,1235,1169,46.4,50.3,17099369358.3867,776563.652588474,1587577800000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,25d24683-b924-47b0-ab7b-18954554eee9,2020-04-23 07:15:56
57,1305,NB,Zone 5 (Campbellton area),Zone 5 (région de Campbellton),12,,,504,23126,808,858,977,1055,1112,1113,875,991,1050,1365,1806,2259,2245,1979,1729,1208,780,916,49,53.8,12171738265.8477,526330.175691132,1587577860000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,fa760c11-19ce-41e4-8d1c-c2dd92f86bad,2020-04-23 07:15:56
58,1306,NB,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),1,,,1024,70761,2577,2747,2874,3190,3301,3147,2760,3325,3969,4463,5686,6711,6766,6223,5197,3469,2219,2138,48.3,52.7,10519982409.4609,773162.948224465,1587577860000,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/respiratory_diseases/coronavirus.html,9fb436e5-fe1a-4579-8a06-b37ffae3690b,2020-04-23 07:15:56
59,4604,MB,Northern Regional Health Authority,Office régional de la santé du Nord,3,0,,,77380,9039,7635,7348,6411,6083,5738,5050,4537,4110,4044,3898,3872,3435,2431,1815,994,544,396,30.7,26.9,1434340542087.63,8392579.27135297,1587590340000,https://www.gov.mb.ca/covid19/index.html,17401c93-4065-4490-bcab-32b920729479,2020-04-23 07:15:56
60,4605,MB,Southern Health—Santé Sud,Southern Health—Santé Sud,28,0,,,205885,16111,16019,15552,15363,15268,13778,12421,12670,12009,11803,11911,13063,11311,9053,7257,5152,3518,3626,36.6,34.4,65248044629.8984,1910979.49588862,1587590400000,https://www.gov.mb.ca/covid19/index.html,3eecfb30-34b7-414a-8cff-f5632e9b5448,2020-04-23 07:15:56
68,3570,ON,York Regional Health Unit,Circonscription sanitaire régionale de York,1250,65,383,2951,1200761,59459,66329,71738,75162,80846,83248,76713,74040,76475,85947,90772,91186,77055,62050,51472,33291,23393,21585,40.6,40.8,4064797265.5,333210.130119945,1587598320000,https://www.york.ca/covid19,c8fff00e-9d45-48b5-b365-e0899d3611df,2020-04-23 07:15:56
69,3575,ON,Oxford Elgin St. Thomas Health Unit,"Circonscription sanitaire d’Oxford, Elgin et St. Thomas",51,4,16,1457,209238,11645,12419,12657,12839,13102,12427,11783,12353,12125,12965,14054,16036,14274,12179,10469,7305,5230,5376,41.7,42.2,7414611562.59375,623756.01721642,1587598500000,https://www.swpublichealth.ca/partners-and-professionals-update-novel-coronavirus-covid-19,e9ea1347-81aa-47a2-850d-a41726e3793c,2020-04-23 07:15:56
70,3595,ON,City of Toronto Health Unit,Circonscription sanitaire de la cité de Toronto,4069,210,243,,2987513,150465,134471,128262,134036,222882,252892,254865,248350,216646,199134,194679,200621,174547,142429,113681,79425,63322,76806,40.9,39.3,1237669950.44531,196665.700233256,1587598560000,https://www.toronto.ca/home/covid-19/media-room/covid-19-status-of-cases-in-toronto/,8aa96e82-b87b-4239-802e-c687222bebf7,2020-04-23 07:15:56
71,4601,MB,Winnipeg Regional Health Authority,Office régional de la santé de Winnipeg,195,0,,,787724,43916,43892,42723,45137,55349,61459,63320,58967,53546,49607,48297,52135,46090,39069,31381,20709,14603,17524,39.7,38.2,1637335866.08594,291749.935121116,1587590400000,https://www.gov.mb.ca/covid19/index.html,7ddc61eb-dc45-4cb7-b1f4-1da8abacb4d5,2020-04-23 07:15:56
72,4602,MB,Prairie Mountain Health,Santé de Prairie Mountain,13,0,,,142031,9539,9204,8660,8511,9172,10013,9734,8832,8319,7856,7711,9416,8940,7815,6487,4663,3419,3740,40,38.5,171984764171.344,4055103.42036051,1587590460000,https://www.gov.mb.ca/covid19/index.html,361db834-f0ef-4fd3-bd6a-39d5d82bd180,2020-04-23 07:15:56
73,4603,MB,Interlake-Eastern Regional Health Authority,Office régional de la santé d'Entre-les-Lacs et de l'Est,18,0,,,173021,10372,9879,9937,10312,11392,11063,10580,9227,8813,10085,11564,13591,12475,11045,8889,6061,3921,3815,41.6,42.1,200057458790.887,5541445.70734295,1587590460000,https://www.gov.mb.ca/covid19/index.html,defbd08e-1123-472d-bfc2-9793e7c7803f,2020-04-23 07:15:56
74,1011,NL,Eastern Regional Health Authority,Eastern Regional Health Authority,238,3,187,5100,310426,13206,14725,15800,15452,17303,20899,21671,21209,20119,21197,23082,23730,22387,20826,16799,10454,6317,5250,43,43.7,46505484344.5527,4200891.67792063,1587576900000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,782d335c-fdf0-4a41-b17d-ba99a233e0f1,2020-04-23 07:15:56
75,1012,NL,Central Regional Health Authority,Central Regional Health Authority,8,0,5,518,85388,3055,3663,4240,4436,4040,3397,3060,3984,4579,5985,7301,7388,7701,7434,6297,4011,2747,2070,47.4,51.5,107815879545.547,5948328.54169316,1587576960000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,258f61c3-26cb-4974-bb35-a3c04f614202,2020-04-23 07:15:56
76,1013,NL,Western Regional Health Authority,Western Regional Health Authority,4,0,1,680,73072,2821,3215,3485,3627,3610,3564,3185,3480,3803,4835,5964,6463,6588,6139,5089,3257,2130,1817,46.7,50.8,79031805606.1484,3787222.93627583,1587577020000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,81ee7dae-86e5-4a33-abc5-113dc43f58b9,2020-04-23 07:15:56
77,1014,NL,Labrador-Grenfell Regional Health Authority,Labrador-Grenfell Regional Health Authority,6,0,6,364,35649,1935,2184,2180,2094,2036,2133,2050,2379,2338,2652,2849,2662,2476,2178,1553,972,574,404,40.6,41.8,873296856585.922,29003002.8530348,1587577020000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,9040c519-50cd-43ec-9de0-784c223c14b1,2020-04-23 07:15:56
78,1201,NS,Zone 1 - Western,Zone 1 - Western,54,,,,185660,7434,8051,8477,9518,10168,9084,8190,9034,9834,11708,14044,16660,16036,14177,12941,8981,5597,5726,46.7,50.5,36970262300.4141,2061166.99214068,1587577260000,https://novascotia.ca/coronavirus/data/,28ec3421-760a-4cf3-a099-0cea6f85bfaf,2020-04-23 07:15:56
79,1202,NS,Zone 2 - Northern,Zone 2 - Northern,37,,,,145940,6458,7111,7538,7990,8261,7563,6874,7544,8353,9644,10425,12329,11922,10747,9238,6108,3918,3917,44.9,47.7,25294287144.8867,1440251.61689238,1587577260000,https://novascotia.ca/coronavirus/data/,93303b1e-a421-46da-b2c8-5f8c32a2d08a,2020-04-23 07:15:56
80,2411,QC,Région de la Gaspésie—Îles-de-la-Madeleine,Région de la Gaspésie—Îles-de-la-Madeleine,146,6,,,85097,3123,3465,3494,3426,3573,4056,3598,4350,4372,4896,6127,7879,8622,7714,6349,4279,2822,2952,48.8,53.4,47178766899.4961,2006548.45766054,1587577560000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,6070707e-97b1-4841-aff7-fc2c0db189db,2020-04-23 07:15:56
81,2412,QC,Région de la Chaudière-Appalaches,Région de la Chaudière-Appalaches,346,7,,,425016,21687,23719,22904,20689,21610,24470,23228,26786,27456,24846,27603,33370,33144,29880,25032,16705,10553,11334,43.7,45,32411620976.4023,1102353.08282164,1587577560000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,c87433ce-6dcc-499c-a2b6-4f0f87896707,2020-04-23 07:15:56
82,2414,QC,Région de Lanaudière,Région de Lanaudière,1534,46,,,444734,23057,26414,25284,22475,23663,27879,26084,29365,29679,27958,31057,35766,33913,27437,22437,15300,8729,8237,42.1,43.1,28422839249.1602,1286230.28766154,1587577620000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,f8bfa64a-9a3e-443c-88ca-d26eaafec1df,2020-04-23 07:15:56
83,2415,QC,Région des Laurentides,Région des Laurentides,936,13,,,575539,27861,31625,31236,29688,31486,35611,33092,37074,38467,37834,41466,47185,43978,35816,29783,20484,11834,11019,42.7,43.9,47638892971.8477,1632459.24687047,1587577680000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,4e29d1af-2e19-4be2-bcf6-7042c8695bc5,2020-04-23 07:15:56
84,2416,QC,Région de la Montérégie,Région de la Montérégie,2573,69,,,1370770,69384,78767,77204,70879,76136,86914,81031,92723,95600,88530,94719,104575,96274,80039,69449,49099,30066,29381,42.2,42.7,17905256570.4258,1195105.74947625,1587577680000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,a0896d9c-2dce-4d24-8334-e3df795761f8,2020-04-23 07:15:56
85,2417,QC,Région du Nunavik,Région du Nunavik,14,0,,,13849,1583,1455,1361,1267,1221,1278,1077,877,778,708,599,560,436,302,182,85,52,28,28.1,25.1,1806307339306.02,15952635.5317646,1587577740000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,9ca626ab-b9e6-4f7e-84d6-c2a063dc7416,2020-04-23 07:15:56
86,2418,QC,Région des Terres-Cries-de-la-Baie-James,Région des Terres-Cries-de-la-Baie-James,5,0,,,17069,1673,1682,1681,1464,1373,1356,1189,1225,1192,1065,827,711,572,406,305,166,100,80,30.2,27.4,15266225953.8047,2688540.32164192,1587577800000,https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/,8d493726-39c0-4f95-bf0e-2bbcc90f0317,2020-04-23 07:15:56
87,3526,ON,The District of Algoma Health Unit,Circonscription sanitaire du district d'Algoma,12,,9,1499,111060,5356,5280,5166,5389,6260,6658,5939,5607,5434,6098,7258,9266,9429,8254,6991,5073,3745,3857,45.7,48.6,97933856178.2969,2965493.3936739,1587596760000,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#algoma,83700232-f985-4b81-a2a6-d120503c52d7,2020-04-23 07:15:56
88,3527,ON,Brant County Health Unit,Circonscription sanitaire du comté de Brant,78,3,50,1889,152029,8353,8720,8856,9023,9724,10132,9806,9449,9345,9377,10128,11186,10270,8910,7076,4894,3320,3460,41.2,41,2144919197.33203,222441.449890952,1587596760000,https://www.bchu.org/ServicesWeProvide/InfectiousDiseases/Pages/coronavirus.aspx,8205e6a7-6cdd-41c8-a403-bf0435ecf4a5,2020-04-23 07:15:56
